id;scenario_id;region;input_energy_vector;output_energy_vector;parameter_name;technology;technology_type;value;unit;tags;method;source;comment;year
;1;['BB','BE','BW','BY','HB','HE','HH','MV','NI','NW','RP','SH','SL','SN','ST','TH','Baltic','North'];ALL;ALL;cost system;ALL;ALL;21322272642.4369;€;;{"value": "aggregated"};Balmorel;;['2016']
;1;['BB','BE','BW','BY','HB','HE','HH','MV','NI','NW','RP','SH','SL','SN','ST','TH','Baltic','North'];ALL;ALL;fixed cost;ALL;ALL;7701466328.7152;€/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BB','BE','BW','BY','HB','HE','HH','MV','NI','NW','RP','SH','SL','SN','ST','TH','Baltic','North'];ALL;ALL;variable cost;ALL;ALL;13620806313.7218;€/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BB','BE'];electricity;electricity;energy flow;transmission;hvac;5556.34;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BB','MV'];electricity;electricity;energy flow;transmission;hvac;75.46;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BB','SN'];electricity;electricity;energy flow;transmission;hvac;780.02;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BB','ST'];electricity;electricity;energy flow;transmission;hvac;2699.69;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BW','BY'];electricity;electricity;energy flow;transmission;hvac;4686.51;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BW','HE'];electricity;electricity;energy flow;transmission;hvac;1437.8;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BW','RP'];electricity;electricity;energy flow;transmission;hvac;424.2;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BW','SL'];electricity;electricity;energy flow;transmission;hvac;2477.86;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BW','TH'];electricity;electricity;energy flow;transmission;hvac;2.32;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BY','BW'];electricity;electricity;energy flow;transmission;hvac;68.05;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['BY','HE'];electricity;electricity;energy flow;transmission;hvac;793.29;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['HE','BY'];electricity;electricity;energy flow;transmission;hvac;589.54;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['HE','RP'];electricity;electricity;energy flow;transmission;hvac;45.36;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['HE','SL'];electricity;electricity;energy flow;transmission;hvac;15.49;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['HE','TH'];electricity;electricity;energy flow;transmission;hvac;2.01;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['HH','NI'];electricity;electricity;energy flow;transmission;hvac;178.1;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['HH','NW'];electricity;electricity;energy flow;transmission;hvac;1844.08;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['MV','BB'];electricity;electricity;energy flow;transmission;hvac;162.75;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['MV','BE'];electricity;electricity;energy flow;transmission;hvac;2220.3;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['MV','SH'];electricity;electricity;energy flow;transmission;hvac;123.84;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['MV','ST'];electricity;electricity;energy flow;transmission;hvac;1081.87;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NI','HB'];electricity;electricity;energy flow;transmission;hvac;6862.91;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NI','HE'];electricity;electricity;energy flow;transmission;hvac;5662.15;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NI','HH'];electricity;electricity;energy flow;transmission;hvac;17.74;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NI','NW'];electricity;electricity;energy flow;transmission;hvac;7004.59;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NI','ST'];electricity;electricity;energy flow;transmission;hvac;284.62;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NW','HE'];electricity;electricity;energy flow;transmission;hvac;7749.37;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NW','NI'];electricity;electricity;energy flow;transmission;hvac;0.21;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['NW','RP'];electricity;electricity;energy flow;transmission;hvac;23964.17;GWh/a;;{"value": "aggregated"};Balmorel;;2016
;1;['RP','BW'];electricity;electricity;energy flow;transmission;hvac;0.69;GWh/a;;{"value": "aggregated"};Balmorel;;2016
